Tipo de Especie,Cantidad Producida,Mes,Año,
Cheflera ,135,Mayo,2022,
Crotos,6061,Mayo,2022,
Diente de Dragon ,266,Mayo,2022,
Escabiola,1267,Mayo,2022,
Ficus Lyrata,13,Mayo,2022,
Ficus Lyrata Adulta,19,Mayo,2022,
Fidodendro,55,Mayo,2022,
Flor de Bayahibe,260,Mayo,2022,
Framboyan,316,Mayo,2022,
Gallego matizado,940,Mayo,2022,
Guardia Civil,18,Mayo,2022,
Guayacan,498,Mayo,2022,
Guayiga,9,Mayo,2022,
Grocella,52,Mayo,2022,
higuero,220,Mayo,2022,
Iris blanca,158,Mayo,2022,
Jacaranda,360,Mayo,2022,
Lengua de Vaca Enana,570,Mayo,2022,
Lengua de Vaca Grande,300,Mayo,2022,
Limoncillo Frutal,60,Mayo,2022,
Lluvia de coral,3610,Mayo,2022,
Malva Roja,634,Mayo,2022,
Malva Verde,1271,Mayo,2022,
Mantequilla ,14,Mayo,2022,
Marginata ,20,Mayo,2022,
Mala madre,10,Mayo,2022,
Nia,34,Mayo,2022,
Orquidea de tierra,91,Mayo,2022,
Pajon Rojo,267,Mayo,2022,
Pajon Blanco,587,Mayo,2022,
Pulpura,220,Mayo,2022,
Palma Areca ,2700,Mayo,2022,
Palma Alexandra,850,Mayo,2022,
Palma Cana,766,Mayo,2022,
Palma Carpintero,570,Mayo,2022,
Palma Manila,520,Mayo,2022,
Palma cola de zorro,574,Mayo,2022,
Palma Real,4,Mayo,2022,
Palma Yarey,70,Mayo,2022,
Palma Santiago,613,Mayo,2022,
Palma washingtonia,166,Mayo,2022,
Penda,27,Mayo,2022,
Progreso,16,Mayo,2022,
Rosas,53,Mayo,2022,
Rosas del Peru,349,Mayo,2022,
Reflexa,2435,Mayo,2022,
Reflexa Grande,11,Mayo,2022,
Robles Amarillo,2034,Mayo,2022,
Robles Morado ,241,Mayo,2022,
Seria de Dia y Puta de Noche,280,Mayo,2022,
Saman,5,Mayo,2022,
Suculenta,15,Mayo,2022,
Taberna Montana ,215,Mayo,2022,
Trinitarias,4691,Mayo,2022,
Tocador,137,Mayo,2022,
Tu y yo ,80,Mayo,2022,
Uva de playa,2098,Mayo,2022,
Violetas,4049,Mayo,2022,
Voladora,430,Mayo,2022,
Waife,230,Mayo,2022,
Yinyere,160,Mayo,2022,
Zapatico verde,1933,Mayo,2022,
Zapatico matizado,110,Mayo,2022,
Ani de estrella,3,Junio,2022,
Aleli ,10,Junio,2022,
Agave,6,Junio,2022,
Bambu Enano,3,Junio,2022,
Begonia,15,Junio,2022,
Bromelia,6,Junio,2022,
Cayena,33,Junio,2022,
Cancion de la india,2,Junio,2022,
Caricatura,2,Junio,2022,
Caucho,3,Junio,2022,
Cucaracha,1,Junio,2022,
Crotos,150,Junio,2022,
Coralillos criollos,38,Junio,2022,
Cordelines,3,Junio,2022,
Diente de Dragon,2,Junio,2022,
Escabiola,10,Junio,2022,
Iris Amarilla,3,Junio,2022,
Jacaranda,1,Junio,2022,
Palma Alexandra,1,Junio,2022,
Palma cola de zorro,1,Junio,2022,
Palma Yarey,11,Junio,2022,
Palma Areca ,289,Junio,2022,
Palma real ,3,Junio,2022,
Palma Robelina,10,Junio,2022,
Palma Santiago,3,Junio,2022,
Palo de Brasil,60,Junio,2022,
Palma Apilita ,6,Junio,2022,
Pino,1,Junio,2022,
Seria de Dia y Puta de Noche,4,Junio,2022,
Reflexa,20,Junio,2022,
Robles Amarillo,8,Junio,2022,
Rosas,14,Junio,2022,
Rufiana,2,Junio,2022,
Sabilita,2,Junio,2022,
Suculenta ,9,Junio,2022,
Tamarindo ,1,Junio,2022,
Trinitarias,48,Junio,2022,
Tocador,27,Junio,2022,
Tu y yo ,7,Junio,2022,
Lengua de Vaca Enana,45,Junio,2022,
Lengua de vaca matizada,11,Junio,2022,
Limon,1,Junio,2022,
Lluvia de coral,43,Junio,2022,
Malva,2,Junio,2022,
Malva Verde,11,Junio,2022,
Marginata ,1,Junio,2022,
Mandarina,7,Junio,2022,
Mandevila,2,Junio,2022,
Mantequilla ,9,Junio,2022,
Menta,1,Junio,2022,
Naranja Agria ,1,Junio,2022,
Nispero,3,Junio,2022,
Granada,4,Junio,2022,
Gramberry ,2,Junio,2022,
Gallego matizado,4,Junio,2022,
Guardia Civil,10,Junio,2022,
Guanabana,4,Junio,2022,
Zapatico verde,7,Junio,2022,
Zapatico matizado,32,Junio,2022,
Ficus lyrata,2,Junio,2022,
Flor de Bayahibe,3,Junio,2022,
Flor del Peru ,5,Junio,2022,
Violetas,34,Junio,2022,
Waife,3,Junio,2022,
Uva de playa,8,Junio,2022,
Aguacate,30,Julio,2022,
Almendra,880,Julio,2022,
Aleli Adulto,148,Julio,2022,
Agave,637,Julio,2022,
Avellana,320,Julio,2022,
Algodón,270,Julio,2022,
Aromatica,310,Julio,2022,
Arbolito chino,185,Julio,2022,
Ani de estrella,138,Julio,2022,
Arroz Chino ,150,Julio,2022,
Bambu Enano,200,Julio,2022,
Bambu Grande,15,Julio,2022,
Cayena,2865,Julio,2022,
Caricatura,15,Julio,2022,
Caoba Criolla,14,Julio,2022,
Caoba Hondureña,14,Julio,2022,
Cajuil Americano ,1,Julio,2022,
Carambola ,4,Julio,2022,
Coralillos,288,Julio,2022,
Coralillos enano,60,Julio,2022,
Costilla de adan,14,Julio,2022,
Copey,85,Julio,2022,
Corazon de paloma,2,Julio,2022,
Cucaracha,220,Julio,2022,
Cuerno de Venado,107,Julio,2022,
Chiflera,272,Julio,2022,
Chiflera grande,220,Julio,2022,
Crotos,6814,Julio,2022,
Diente de Dragon ,440,Julio,2022,
Escabiola,1738,Julio,2022,
Ficus Lirata Adulta ,9,Julio,2022,
Ficus Ale,17,Julio,2022,
Ficus Elastica,10,Julio,2022,
Filodendro,233,Julio,2022,
Filodendro Grande,18,Julio,2022,
Flor de Bayahibe,230,Julio,2022,
Framboyan,267,Julio,2022,
Gallego Matizado,820,Julio,2022,
Guardia Civil,39,Julio,2022,
Guayacan,463,Julio,2022,
Gramberry ,20,Julio,2022,
Granada,33,Julio,2022,
higuero,240,Julio,2022,
Iris blanca,300,Julio,2022,
Iris Amarilla,5,Julio,2022,
Jacaranda,350,Julio,2022,
Lengua de Vaca Enana,360,Julio,2022,
Lengua de Vaca Grande,380,Julio,2022,
Limoncillo Frutal ,55,Julio,2022,
Lluvia de coral,3380,Julio,2022,
Malva Roja,931,Julio,2022,
Malva Verde,860,Julio,2022,
Mantequilla ,165,Julio,2022,
Marginata ,20,Julio,2022,
Masanyana,17,Julio,2022,
Mango,3,Julio,2022,
Nispero,2,Julio,2022,
Orquidea de tierra,66,Julio,2022,
Oreganillo Verde,35,Julio,2022,
Pajon Rojo,300,Julio,2022,
Pajon Blanco,493,Julio,2022,
Palma Areca,2600,Julio,2022,
Palma Alexandra,1478,Julio,2022,
Palo de Brasil,113,Julio,2022,
Palma Cana ,938,Julio,2022,
Palma Carpintero,450,Julio,2022,
Palma Manila,730,Julio,2022,
Palma cola de zorro,541,Julio,2022,
Palma Yarey,809,Julio,2022,
Palma Santiago ,1838,Julio,2022,
Palma washingtonia,135,Julio,2022,
Penda ,71,Julio,2022,
Progreso,18,Julio,2022,
Rosas,15,Julio,2022,
Rosas del Peru,295,Julio,2022,
Reflexa,2120,Julio,2022,
Reflexa Grande,8,Julio,2022,
Robles Amarillo ,2453,Julio,2022,
Robles Morado,510,Julio,2022,
Seria de Dia y Puta de Noche,220,Julio,2022,
Suculenta,57,Julio,2022,
Taberna Montana,219,Julio,2022,
Tamarindo ,370,Julio,2022,
Trinitarias,4481,Julio,2022,
Tu y yo ,266,Julio,2022,
Uva de playa,275,Julio,2022,
Violetas,5485,Julio,2022,
Voladora,180,Julio,2022,
Yinyere,400,Julio,2022,
Zapatico verde,2150,Julio,2022,
Zapatico matizado,580,Julio,2022,
Aguacate,32,Agosto,2022,
Almendra,710,Agosto,2022,
Aleli,7,Agosto,2022,
Aleli Adulto,128,Agosto,2022,
Agave,471,Agosto,2022,
Avellana,290,Agosto,2022,
Algodón,300,Agosto,2022,
Aromatica,270,Agosto,2022,
Arbolito chino,170,Agosto,2022,
Ani de estrella,115,Agosto,2022,
Arroz Chino ,224,Agosto,2022,
Bambu Enano,220,Agosto,2022,
Bambu Grande,48,Agosto,2022,
Cayena,3182,Agosto,2022,
Caoba Criolla,37,Agosto,2022,
Caoba Hondureña,37,Agosto,2022,
Carambola ,3,Agosto,2022,
Caucho,5,Agosto,2022,
Coralillos,10,Agosto,2022,
Coralillos enano,134,Agosto,2022,
Costilla de adan,11,Agosto,2022,
Copey,164,Agosto,2022,
Corazon de paloma,3,Agosto,2022,
Cordelines ,50,Agosto,2022,
Cucaracha,140,Agosto,2022,
Cuerno de Venado,87,Agosto,2022,
Cheflera enana,225,Agosto,2022,
Crotos,5441,Agosto,2022,
Diente de Dragon,395,Agosto,2022,
Escabiola,1686,Agosto,2022,
Ficus Lirata Adulta ,7,Agosto,2022,
Ficus Ale,17,Agosto,2022,
Filodendro,22,Agosto,2022,
Filodendro Grande,77,Agosto,2022,
Flor de Bayahibe,220,Agosto,2022,
Framboyan,242,Agosto,2022,
Gallego Matizado,790,Agosto,2022,
Guardia Civil,14,Agosto,2022,
Guayacan,528,Agosto,2022,
Guayiga,9,Agosto,2022,
Granada,3,Agosto,2022,
Grocella,70,Agosto,2022,
Higuero,200,Agosto,2022,
Jacaranda,515,Agosto,2022,
Juan Primero,126,Agosto,2022,
Lengua de Vaca Enana,270,Agosto,2022,
Lengua de Vaca Grande,400,Agosto,2022,
Limoncillo Frutal,52,Agosto,2022,
LLorona,7,Agosto,2022,
Lluvia de coral,3300,Agosto,2022,
Malva Roja,550,Agosto,2022,
Malva Verde,1438,Agosto,2022,
Marginata ,9,Agosto,2022,
Masanyana,43,Agosto,2022,
Orquidea de tierra,70,Agosto,2022,
Oreganillo Plateado,35,Agosto,2022,
Pajón Rojo,350,Agosto,2022,
Pajón Blanco,440,Agosto,2022,
Pajón Enano,74,Agosto,2022,
Palma Areca,1040,Agosto,2022,
Palma Alexandra,1727,Agosto,2022,
Palo de Brasil,55,Agosto,2022,
Palma Cana,580,Agosto,2022,
Palma Carpintero,740,Agosto,2022,
Palma Manila,1650,Agosto,2022,
Palma cola de zorro,639,Agosto,2022,
Palma Yarey,658,Agosto,2022,
Palma Santiago,1200,Agosto,2022,
Palma washingtonia,99,Agosto,2022,
Penda ,114,Agosto,2022,
Progreso,11,Agosto,2022,
Rosas,13,Agosto,2022,
Rosas del Peru,222,Agosto,2022,
Reflexa,1521,Agosto,2022,
Reflexa Grande ,7,Agosto,2022,
Robles Amarillo,3929,Agosto,2022,
Robles Morado,476,Agosto,2022,
Seria de Dia y Puta de Noche,175,Agosto,2022,
Saman,6,Agosto,2022,
Suculenta,40,Agosto,2022,
Taberna Montana,229,Agosto,2022,
Tamarindo ,450,Agosto,2022,
Trinitarias,3345,Agosto,2022,
Tocador,238,Agosto,2022,
Tu y yo ,120,Agosto,2022,
Uva de playa,220,Agosto,2022,
Violetas,5040,Agosto,2022,
Voladora,500,Agosto,2022,
Yinyere,192,Agosto,2022,
Zapatico Verde,1758,Agosto,2022,
Zapatico matizado,210,Agosto,2022,
Aguacate,28,Septiembre,2022,
Almendra,490,Septiembre,2022,
Aleli Adulto,126,Septiembre,2022,
Agave,508,Septiembre,2022,
Avellana,400,Septiembre,2022,
Algodón,290,Septiembre,2022,
Arbolito chino,173,Septiembre,2022,
Ani de estrella,55,Septiembre,2022,
Arroz Chino ,164,Septiembre,2022,
Bambu Enano,200,Septiembre,2022,
Bambu Grande,21,Septiembre,2022,
Begonia,76,Septiembre,2022,
Callena ,2852,Septiembre,2022,
Caoba Criolla ,18,Septiembre,2022,
Caoba Hondureña,15,Septiembre,2022,
Carambola ,4,Septiembre,2022,
Caucho,5,Septiembre,2022,
Coralillos,235,Septiembre,2022,
Coralillos enano,21,Septiembre,2022,
Costilla de adan,14,Septiembre,2022,
Copey,186,Septiembre,2022,
Corazon de paloma,3,Septiembre,2022,
Cordelines,11,Septiembre,2022,
Cucaracha,256,Septiembre,2022,
Cuerno de Venado,107,Septiembre,2022,
Chiflera,126,Septiembre,2022,
Crotos,5863,Septiembre,2022,
Diente de Dragon,340,Septiembre,2022,
Escabiola,1841,Septiembre,2022,
Ficus Lirata Adulta ,7,Septiembre,2022,
Ficus Ale,4,Septiembre,2022,
Ficus Ale Adulto,17,Septiembre,2022,
Filodendro,14,Septiembre,2022,
Filodendro Grande,13,Septiembre,2022,
Flor de Bayahibe,250,Septiembre,2022,
Framboyan,217,Septiembre,2022,
Gallego Matizado,810,Septiembre,2022,
Guardia Civil,15,Septiembre,2022,
Guayacan,485,Septiembre,2022,
Guayiga,4,Septiembre,2022,
Granada,60,Septiembre,2022,
Grocella,7,Septiembre,2022,
Gramberry ,20,Septiembre,2022,
Higuero,224,Septiembre,2022,
Iris blanca,190,Septiembre,2022,
Jacaranda,510,Septiembre,2022,
Juan Primero,161,Septiembre,2022,
Lengua de Vaca Enana,385,Septiembre,2022,
Lengua de Vaca Grande,480,Septiembre,2022,
Limoncillo frutal,46,Septiembre,2022,
Limoncillo Aromatico,400,Septiembre,2022,
LLorona,4,Septiembre,2022,
Lluvia de coral,1494,Septiembre,2022,
Malva Verde,1939,Septiembre,2022,
Malva Roja,626,Septiembre,2022,
Mantequilla ,8,Septiembre,2022,
Marginata ,11,Septiembre,2022,
Masanyana,48,Septiembre,2022,
Nispero,1,Septiembre,2022,
Orquidea de tierra,135,Septiembre,2022,
Oreganillo Plateado,40,Septiembre,2022,
Pajón Rojo,150,Septiembre,2022,
Pajón Blanco,258,Septiembre,2022,
Pajón Enano,150,Septiembre,2022,
Palma Areca ,330,Septiembre,2022,
Palma Alexandra,2040,Septiembre,2022,
Palo de Brasil,37,Septiembre,2022,
Palma Cana,204,Septiembre,2022,
Palma Carpintero,400,Septiembre,2022,
Palma Manila,2350,Septiembre,2022,
Palma cola de zorro,523,Septiembre,2022,
Palma Yarey,796,Septiembre,2022,
Palma Santiago,767,Septiembre,2022,
Palma washingtonia,76,Septiembre,2022,
Penda ,104,Septiembre,2022,
Progreso,13,Septiembre,2022,
Rosas ,6,Septiembre,2022,
Rosas del Peru,134,Septiembre,2022,
Reflexa,1915,Septiembre,2022,
Reflaxa Grande,8,Septiembre,2022,
Roble Amariilo,1547,Septiembre,2022,
Roble Morado,520,Septiembre,2022,
Seria de Dia y Puta de Noche,150,Septiembre,2022,
Saman,7,Septiembre,2022,
Suculenta,40,Septiembre,2022,
Taberna Montana,300,Septiembre,2022,
Tamarindo ,470,Septiembre,2022,
Trinitarias,3453,Septiembre,2022,
Tocador ,180,Septiembre,2022,
Tu y yo ,230,Septiembre,2022,
Uva de playa,80,Septiembre,2022,
Vioetas,3923,Septiembre,2022,
Voladora,350,Septiembre,2022,
Yinyere,160,Septiembre,2022,
Zapatico Verde,2350,Septiembre,2022,
Zapartico Matizado,130,Septiembre,2022,
Aguacate,32,Octubre,2022,
Almendra,640,Octubre,2022,
Aleli Adulto,109,Octubre,2022,
Agave,471,Octubre,2022,
Avellana,250,Octubre,2022,
Algodón,270,Octubre,2022,
Aromatica,250,Octubre,2022,
Arbolito chino,100,Octubre,2022,
Ani de estrella,72,Octubre,2022,
Arroz Chino ,140,Octubre,2022,
Bambu Enano,75,Octubre,2022,
Bambu Grande,37,Octubre,2022,
Begonia,100,Octubre,2022,
Cayena,2783,Octubre,2022,
Caricatura,200,Octubre,2022,
Caoba Criolla ,25,Octubre,2022,
Cancion de la india,435,Octubre,2022,
Caoba Hondureña,120,Octubre,2022,
Carambola ,4,Octubre,2022,
Cajuil,5,Octubre,2022,
Caucho ,4,Octubre,2022,
Coralillo,450,Octubre,2022,
Coralillos Dorados,70,Octubre,2022,
Costilla de adan,12,Octubre,2022,
Cactus,2,Octubre,2022,
Copey,161,Octubre,2022,
Corazon de paloma,4,Octubre,2022,
Cordelines,4,Octubre,2022,
Cucaracha,250,Octubre,2022,
Cuerno de Vaca Venado,100,Octubre,2022,
Chiflera Enana,180,Octubre,2022,
Chiflera,75,Octubre,2022,
Crotos,3550,Octubre,2022,
Dianela,111,Octubre,2022,
Diente de Dragon,345,Octubre,2022,
Escabiola,1616,Octubre,2022,
Ficus Lirata  ,7,Octubre,2022,
Ficus  Ale Adulto,17,Octubre,2022,
Filodendro,53,Octubre,2022,
Flor de Bayahibe,190,Octubre,2022,
Framboyan,132,Octubre,2022,
Gallego Matizado,550,Octubre,2022,
Guayacan,442,Octubre,2022,
Guayiga,3,Octubre,2022,
Granada,45,Octubre,2022,
Grocella,4,Octubre,2022,
Gramberry ,18,Octubre,2022,
Higuero,230,Octubre,2022,
Iris blanca,187,Octubre,2022,
Jacaranda,530,Octubre,2022,
Juan Primero,132,Octubre,2022,
Lengua de Vaca Enana,130,Octubre,2022,
Lengua de Vaca Grande,280,Octubre,2022,
Limoncillo Frutal,51,Octubre,2022,
Limoncillo Aromatico,230,Octubre,2022,
Lluvia de coral,2040,Octubre,2022,
Malva Roja,100,Octubre,2022,
Marginata ,36,Octubre,2022,
Malva Verde,2096,Octubre,2022,
Masanyana,44,Octubre,2022,
Orquidea de tierra,110,Octubre,2022,
Oregano Verde,30,Octubre,2022,
Pajon Enano,900,Octubre,2022,
Palma Areca,139,Octubre,2022,
Palma Alexandra,1849,Octubre,2022,
Palo de Brasil,12,Octubre,2022,
Palma Cana ,325,Octubre,2022,
Palma Carpintero,390,Octubre,2022,
Palma Coco Plumoso,528,Octubre,2022,
Palma Manila,1568,Octubre,2022,
Palma cola de zorro,640,Octubre,2022,
Palma Yarey,67,Octubre,2022,
Palma Santiago,1525,Octubre,2022,
Palma washingtonia,56,Octubre,2022,
Pulpura,240,Octubre,2022,
Penda,4,Octubre,2022,
Progreso,9,Octubre,2022,
Rosa del peru,70,Octubre,2022,
Reflexa,1501,Octubre,2022,
Roble Amariilo,2755,Octubre,2022,
Roble Morado,461,Octubre,2022,
Seria de Dia y Puta de Noche,135,Octubre,2022,
Suculenta,25,Octubre,2022,
Taberna Montana,117,Octubre,2022,
Tamarindo ,156,Octubre,2022,
Trinitarias,2789,Octubre,2022,
Tocador,80,Octubre,2022,
Tu y yo ,168,Octubre,2022,
Uva de playa,268,Octubre,2022,
Violetas,4170,Octubre,2022,
Voladora,250,Octubre,2022,
Yinyere,145,Octubre,2022,
Zapatico Verde,2400,Octubre,2022,
Zapatico matizado,485,Octubre,2022,
Aguacate,31,Noviembre,2022,
Almendra,650,Noviembre,2022,
Aleli,104,Noviembre,2022,
Aleli adulto,99,Noviembre,2022,
Agave,469,Noviembre,2022,
Avellana,190,Noviembre,2022,
Algodón,395,Noviembre,2022,
Aromatica,200,Noviembre,2022,
Arbolito chino,160,Noviembre,2022,
Ani de estrella,71,Noviembre,2022,
Arroz Chino ,52,Noviembre,2022,
Bambu Enano,140,Noviembre,2022,
Bambu Grande,37,Noviembre,2022,
Begonia,180,Noviembre,2022,
Cayena,4130,Noviembre,2022,
Café,20,Noviembre,2022,
Caricatura,221,Noviembre,2022,
Caoba Criolla,17,Noviembre,2022,
Cancion de la india,310,Noviembre,2022,
Caoba Hondureña,8,Noviembre,2022,
Carambola ,4,Noviembre,2022,
Caucho,4,Noviembre,2022,
Coralillos,530,Noviembre,2022,
Coralillos enano,23,Noviembre,2022,
Costilla de adan,23,Noviembre,2022,
Cactus,2,Noviembre,2022,
Copey,192,Noviembre,2022,
Corazon de paloma,4,Noviembre,2022,
Cordelines,5,Noviembre,2022,
Cucaracha,160,Noviembre,2022,
Cuerno de Venado,95,Noviembre,2022,
Cheflera ,263,Noviembre,2022,
Crotos,3466,Noviembre,2022,
Dianela,93,Noviembre,2022,
Diente de dragon,395,Noviembre,2022,
Escabiola,1688,Noviembre,2022,
Ficus Lirata,5,Noviembre,2022,
Ficus Ale Adulto,17,Noviembre,2022,
Filodentro Grande,4,Noviembre,2022,
Filodendro,57,Noviembre,2022,
Flor de Bayahibe,210,Noviembre,2022,
Framboyan,29,Noviembre,2022,
Gallego Matizado,250,Noviembre,2022,
Guardia Civil,45,Noviembre,2022,
Guayacan,403,Noviembre,2022,
Guayiga,5,Noviembre,2022,
Granada,60,Noviembre,2022,
Grocella,4,Noviembre,2022,
Gramberry ,12,Noviembre,2022,
Helecho,130,Noviembre,2022,
Higuero,240,Noviembre,2022,
Iris blanca,160,Noviembre,2022,
Jacaranda,570,Noviembre,2022,
Juan Primero,115,Noviembre,2022,
Lengua de Vaca Enana,180,Noviembre,2022,
lengua de vaca grande,350,Noviembre,2022,
lechosa,13,Noviembre,2022,
Limoncillo frutal,59,Noviembre,2022,
Limoncillo Aromatico,320,Noviembre,2022,
Lluvia de coral,3950,Noviembre,2022,
Malva Roja,390,Noviembre,2022,
Marginata ,51,Noviembre,2022,
Malva Verde,1178,Noviembre,2022,
Masanyana,44,Noviembre,2022,
Orquidea de tierra,105,Noviembre,2022,
Oregano Verde,50,Noviembre,2022,
Pajon Blanco,370,Noviembre,2022,
Pajon rojo,140,Noviembre,2022,
Pajon Enano,150,Noviembre,2022,
Palma areca,47,Noviembre,2022,
Palma Alexandra,2351,Noviembre,2022,
Palo de Brasil,59,Noviembre,2022,
palma cana,27,Noviembre,2022,
Palma Carpintero,520,Noviembre,2022,
Palma Coco Plumoso,1010,Noviembre,2022,
Palma Manila,2050,Noviembre,2022,
Palma cola de zorro,447,Noviembre,2022,
Palma Yarey,67,Noviembre,2022,
palma santiago,1107,Noviembre,2022,
Palma washingtonia,44,Noviembre,2022,
Pulpura,270,Noviembre,2022,
penda,4,Noviembre,2022,
Progreso,17,Noviembre,2022,
Rosa del peru,50,Noviembre,2022,
reflexa,1605,Noviembre,2022,
reflexa grande ,8,Noviembre,2022,
robles amarillo,2398,Noviembre,2022,
robles morado,470,Noviembre,2022,
sabila,6,Noviembre,2022,
saman,6,Noviembre,2022,
Seria de Dia y Puta de Noche,160,Noviembre,2022,
Suculenta,70,Noviembre,2022,
Taberna Montana,260,Noviembre,2022,
Tamarindo ,465,Noviembre,2022,
Trinitarias,2307,Noviembre,2022,
tocador,437,Noviembre,2022,
Tu y yo ,120,Noviembre,2022,
Uva de playa,222,Noviembre,2022,
Violetas,4510,Noviembre,2022,
Voladora,340,Noviembre,2022,
gingere,200,Noviembre,2022,
zapatico verde,2420,Noviembre,2022,
Zapatico matizado,281,Noviembre,2022,
Almendra,740,Diciembre,2022,
Aleli,109,Diciembre,2022,
Aleli adulto,63,Diciembre,2022,
Agave,675,Diciembre,2022,
Avellana,100,Diciembre,2022,
Algodón,130,Diciembre,2022,
Aromatica,150,Diciembre,2022,
Arbolito chino,120,Diciembre,2022,
Anis de estrella,52,Diciembre,2022,
Arroz Chino ,28,Diciembre,2022,
Bambu Enano,130,Diciembre,2022,
Bambu Grande,29,Diciembre,2022,
Begonia,180,Diciembre,2022,
Cayena,4092,Diciembre,2022,
Cactus,31,Diciembre,2022,
café,23,Diciembre,2022,
Caricatura,488,Diciembre,2022,
Caoba Criolla,7,Diciembre,2022,
Cancion de la india,250,Diciembre,2022,
Caoba Hondureña,10,Diciembre,2022,
Carambola ,4,Diciembre,2022,
Caucho,9,Diciembre,2022,
Calmani,143,Diciembre,2022,
Coralillos,452,Diciembre,2022,
Coralillos enano,37,Diciembre,2022,
Costilla de adam,15,Diciembre,2022,
Copey,275,Diciembre,2022,
Cordelines,4,Diciembre,2022,
Cucaracha,200,Diciembre,2022,
Cuerno de Venado,130,Diciembre,2022,
Cheflera,100,Diciembre,2022,
Cheflera enana,140,Diciembre,2022,
Crotos,4033,Diciembre,2022,
Copa palo de Brasil ,25,Diciembre,2022,
Dianela,220,Diciembre,2022,
Diente de dragon,250,Diciembre,2022,
Escabiola,1630,Diciembre,2022,
Ficus ale Adulto,19,Diciembre,2022,
Filodendro Grande,100,Diciembre,2022,
Filodendro ,10,Diciembre,2022,
Flor de Bayahibe,185,Diciembre,2022,
Flor de pascua,110,Diciembre,2022,
Framboyan,118,Diciembre,2022,
Gallego Matizado,655,Diciembre,2022,
Gallego Perejil,26,Diciembre,2022,
Guardia Civil,90,Diciembre,2022,
Guayacan,518,Diciembre,2022,
Guayiga,4,Diciembre,2022,
Guanabana,18,Diciembre,2022,
Granada,28,Diciembre,2022,
Grocella,4,Diciembre,2022,
Gramberry ,7,Diciembre,2022,
Helecho,150,Diciembre,2022,
Higuero,230,Diciembre,2022,
Iris blanca,130,Diciembre,2022,
Iris Amarilla,140,Diciembre,2022,
Jacaranda,500,Diciembre,2022,
Jazmin,250,Diciembre,2022,
Juan Primero,129,Diciembre,2022,
Lengua de Vaca Enana,250,Diciembre,2022,
Lengua de Vaca Grande,500,Diciembre,2022,
lechosa,15,Diciembre,2022,
Limoncillo Frutal,90,Diciembre,2022,
Limoncillo Aromatico,300,Diciembre,2022,
Lluvia de coral,3490,Diciembre,2022,
Malva Roja,415,Diciembre,2022,
Margarita,32,Diciembre,2022,
Malva Verde,2062,Diciembre,2022,
Masanyana,25,Diciembre,2022,
Mondongro,580,Diciembre,2022,
Nia,2,Diciembre,2022,
Orquidea de tierra,119,Diciembre,2022,
Oregano Verde,40,Diciembre,2022,
Oregano plateado ,13,Diciembre,2022,
Pajon Blanco,411,Diciembre,2022,
Pajon Rojo,220,Diciembre,2022,
Pajon Enano,150,Diciembre,2022,
Palma Alexandra,3688,Diciembre,2022,
Palo de Brasil,23,Diciembre,2022,
Palma cana,250,Diciembre,2022,
Palma Carpintero,260,Diciembre,2022,
Palma Coco Plumoso,980,Diciembre,2022,
Palma Manila,1489,Diciembre,2022,
Palma cola de zorro,51,Diciembre,2022,
Palma Yarey,229,Diciembre,2022,
Palma santiago,589,Diciembre,2022,
Palma Whashintonia,25,Diciembre,2022,
Palma Robelina,625,Diciembre,2022,
Pintalabios,200,Diciembre,2022,
Pulpura,250,Diciembre,2022,
Penda,21,Diciembre,2022,
Progreso,8,Diciembre,2022,
Rosas del Peru,25,Diciembre,2022,
Reflexa,1389,Diciembre,2022,
Robles Amarillo,2669,Diciembre,2022,
Robles Morado,425,Diciembre,2022,
Romana,1,Diciembre,2022,
Savila,6,Diciembre,2022,
Saman,8,Diciembre,2022,
Sanchezca,14,Diciembre,2022,
Seria de Dia y Puta de Noche,135,Diciembre,2022,
Suculenta,47,Diciembre,2022,
Taberna Montana,340,Diciembre,2022,
Tamarindo ,260,Diciembre,2022,
Trinitarias,2205,Diciembre,2022,
TOcador,330,Diciembre,2022,
Tu y yo ,38,Diciembre,2022,
Uva de playa,132,Diciembre,2022,
Uva de Sierra,437,Diciembre,2022,
Velo de Novia,2,Diciembre,2022,
Violetas,3255,Diciembre,2022,
Voladora,230,Diciembre,2022,
Yinyere,36,Diciembre,2022,
zapatico verde,3014,Diciembre,2022,
Zapatico matizado,750,Diciembre,2022,
Aguacate,19,Enero,2023,
Almendra,540,Enero,2023,
Aleli ,100,Enero,2023,
Aleli Adulto,73,Enero,2023,
Agave,1194,Enero,2023,
Avellana,250,Enero,2023,
Algodón,210,Enero,2023,
Aromatica,200,Enero,2023,
Arbolito chino,459,Enero,2023,
Anis de estrella,63,Enero,2023,
Arroz Chino ,10,Enero,2023,
Bambu Enano,165,Enero,2023,
Bambu Grande,27,Enero,2023,
Begonia,110,Enero,2023,
Bromelia,100,Enero,2023,
Cayena,2994,Enero,2023,
Cactus,19,Enero,2023,
Café,16,Enero,2023,
Caricatura,180,Enero,2023,
Caoba Criolla,17,Enero,2023,
Cancion de la india,170,Enero,2023,
Caoba Hondureña,7,Enero,2023,
Carambola ,5,Enero,2023,
Caimoni,160,Enero,2023,
Caucho,1,Enero,2023,
Caimito,15,Enero,2023,
Calmani,120,Enero,2023,
Capricho,36,Enero,2023,
Coralillos,160,Enero,2023,
